_id,codigo,descripcion,precioVentaBase,TARIFA SAVIA SALUD
uzrTRFAfCoiAfPKY5,2090001,STENT CORONARIO ANGIOLITE 225X14MM REFSCC DSR14 150 225 014,2858499,1224000
XuqatSbi7q2Ag4M9f,2090002,STENT CORONARIO ANGIOLITE 225X19MM REFSCC DSR14 150 225 019,2858499,1224000
86QAQJpuGZveFXDG7,2090003,STENT CORONARIO ANGIOLITE 225X24MM REFSCC DSR14 150 225 024,2858499,1224000
ETaWwTPftTEdDLAH8,2090004,STENT CORONARIO ANGIOLITE 225X29MM REFSCC DSR14 150 225 029,2858499,1224000
W2f57iXQqpEp9CJ32,2090005,STENT CORONARIO ANGIOLITE 225X34MM REFSCC DSR14 150 225 034,2858499,1224000
8PEotkoZDzTMG32nH,2090006,STENT CORONARIO ANGIOLITE 225X39MM REFSCC DSR14 150 225 039,2858499,1224000
x9DWMpyQLGXgMmPP5,2090007,STENT CORONARIO ANGIOLITE 225X9MM REFSCC DSR14 150 225 009,2858499,1224000
ELWKPCgXA3YmhS444,2090008,STENT CORONARIO ANGIOLITE 250X14MM REFSCC DSR14 150 250 014,2858499,1224000
cBC7uM4QQBtNmxFuH,2090009,STENT CORONARIO ANGIOLITE 250X19MM REFSCC DSR14 150 250 019,2858499,1224000
giaEpWmbFWCiFY2t5,2090010,STENT CORONARIO ANGIOLITE 250X24MM REFSCC DSR14 150 250 024,2858499,1224000
DSynDyTkz6zjh4cCN,2090011,STENT CORONARIO ANGIOLITE 250X29MM REFSCC DSR14 150 250 029,2858499,1224000
9xKGZC9bxfSJsBBRx,2090012,STENT CORONARIO ANGIOLITE 250X34MM REFSCC DSR14 150 250 034,2858499,1224000
JAAwRTh9XyRhXcX9m,2090013,STENT CORONARIO ANGIOLITE 250X39MM REFSCC DSR14 150 250 039,2858499,1224000
mT2wRBf9PKLeuB7xo,2090014,STENT CORONARIO ANGIOLITE 250X9MM REFSCC DSR14 150 250 009,2858499,1224000
JRPKb38zJttj5Mm6u,2090015,STENT CORONARIO ANGIOLITE 275X14MM REFSCC DSR14 150 275 014,2858499,1224000
wrnr8AvMTXeEDShih,2090016,STENT CORONARIO ANGIOLITE 275X19MM REFSCC DSR14 150 275 019,2858499,1224000
Bx4xyQyf8TPPgpbSY,2090017,STENT CORONARIO ANGIOLITE 275X24MM REFSCC DSR14 150 275 024,2858499,1224000
aQSvH68K6vFqsDyXP,2090018,STENT CORONARIO ANGIOLITE 275X29MM REFSCC DSR14 150 275 029,2858499,1224000
qpcL4rgunis5DHmT5,2090019,STENT CORONARIO ANGIOLITE 275X34MM REFSCC DSR14 150 275 034,2858499,1224000
hEu4PAyLdjJt4BREW,2090020,STENT CORONARIO ANGIOLITE 275X39MM REFSCC DSR14 150 275 039,2858499,1224000
WmnXxLpdvpFS3geKF,2090021,STENT CORONARIO ANGIOLITE 275X9MM REFSCC DSR14 150 275 009,2858499,1224000
xjWfC6hkmqw52P79Z,2090022,STENT CORONARIO ANGIOLITE 2X14MM REFSCC DSR14 150 200 014,2858499,1224000
A9aNe3xcmLTSASTxP,2090023,STENT CORONARIO ANGIOLITE 2X19MM REFSCC DSR14 150 200 019,2858499,1224000
AKYquX2yqFPo72WB5,2090024,STENT CORONARIO ANGIOLITE 2X24MM REFSCC DSR14 150 200 024,2858499,1224000
g5nNMHiiyEjFQaFWM,2090025,STENT CORONARIO ANGIOLITE 2X29MM REFSCC DSR14 150 200 029,2858499,1224000
GCyFfLcpCHBRrdu6c,2090026,STENT CORONARIO ANGIOLITE 2X34MM REFSCC DSR14 150 200 034,2858499,1224000
aRqRz2hbkyTzeMqgj,2090027,STENT CORONARIO ANGIOLITE 2X39MM REFSCC DSR14 150 200 039,2858499,1224000
Fc98cSHGrDC9uYf2R,2090028,STENT CORONARIO ANGIOLITE 2X9MM REFSCC DSR14 150 200 009,2858499,1224000
K8dFyZedBtpkKB2ek,2090029,STENT CORONARIO ANGIOLITE 350X14MM REFSCC DSR14 150 350 014,2858499,1224000
rXPZ7Ej2nqLjAY2e2,2090030,STENT CORONARIO ANGIOLITE 350X19MM REFSCC DSR14 150 350 019,2858499,1224000
TXELu4biyazWDoduP,2090031,STENT CORONARIO ANGIOLITE 350X24MM REFSCC DSR14 150 350 024,2858499,1224000
YqTRrc5fz9DZBK5nv,2090032,STENT CORONARIO ANGIOLITE 350X29MM REFSCC DSR14 150 350 029,2858499,1224000
885iqehS3td5EwxtE,2090033,STENT CORONARIO ANGIOLITE 350X34MM REFSCC DSR14 150 350 034,2858499,1224000
S3kBTwK3RPmkSKE7e,2090034,STENT CORONARIO ANGIOLITE 350X39MM REFSCC DSR14 150 350 039,2858499,1224000
cmcds6AXDmG2gBKCS,2090035,STENT CORONARIO ANGIOLITE 350X9MM REFSCC DSR14 150 350 009,2858499,1224000
XyZfdRSSEmEEt5uKv,2090036,STENT CORONARIO ANGIOLITE 3X14MM REFSCC DSR14 150 300 014,2858499,1224000
kAHeokGPSZLYTLeJL,2090037,STENT CORONARIO ANGIOLITE 3X19MM REFSCC DSR14 150 300 019,2858499,1224000
xMGfaasQDHnD9NbNp,2090038,STENT CORONARIO ANGIOLITE 3X24MM REFSCC DSR14 150 300 024,2858499,1224000
btH9aXfryQpK5Ccey,2090039,STENT CORONARIO ANGIOLITE 3X29MM REFSCC DSR14 150 300 029,2858499,1224000
22SmuyQiqnbZS8ayf,2090040,STENT CORONARIO ANGIOLITE 3X34MM REFSCC DSR14 150 300 034,2858499,1224000
vNYznYpwCEAg3dgEL,2090041,STENT CORONARIO ANGIOLITE 3X39MM REFSCC DSR14 150 300 039,2858499,1224000
Tqgjyeo9xwdfKPJyw,2090042,STENT CORONARIO ANGIOLITE 3X9MM REFSCC DSR14 150 300 009,2858499,1224000
fpwrjb3XT9BkiBYna,2090043,STENT CORONARIO ANGIOLITE 450X14MM REFSCC DSR14 150 450 014,2858499,1224000
LCGMjwQxRG5cMbPJf,2090044,STENT CORONARIO ANGIOLITE 450X19MM REFSCC DSR14 150 450 019,2858499,1224000
vCWrogqTY5tMzdtso,2090045,STENT CORONARIO ANGIOLITE 450X24MM REFSCC DSR14 150 450 024,2858499,1224000
YoSpLfTP2zeGCtDLK,2090046,STENT CORONARIO ANGIOLITE 450X29MM REFSCC DSR14 150 450 029,2858499,1224000
RwfBNobw5EnviZsRL,2090047,STENT CORONARIO ANGIOLITE 450X34MM REFSCC DSR14 150 450 034,2858499,1224000
7F5T2Yegz8Yc6zYFt,2090048,STENT CORONARIO ANGIOLITE 450X39MM REFSCC DSR14 150 450 039,2858499,1224000
v8cj5z2dndtwuySu3,2090049,STENT CORONARIO ANGIOLITE 4X14MM REFSCC DSR14 150 400 014,2858499,1224000
BpqcBPik9eY6boszt,2090050,STENT CORONARIO ANGIOLITE 4X19MM REFSCC DSR14 150 400 019,2858499,1224000
FazC4msWZerrTfEsm,2090051,STENT CORONARIO ANGIOLITE 4X24MM REFSCC DSR14 150 400 024,2858499,1224000
Zb7Wu4SpSYR9Zia9S,2090052,STENT CORONARIO ANGIOLITE 4X29MM REFSCC DSR14 150 400 029,2858499,1224000
RtHzRB2e4JSyo2xAe,2090053,STENT CORONARIO ANGIOLITE 4X34MM REFSCC DSR14 150 400 034,2858499,1224000
SD7bqSRRbNmhgGSYE,2090054,STENT CORONARIO ANGIOLITE 4X39MM REFSCC DSR14 150 400 039,2858499,1224000
dDbxhCkHxTQcuJdJy,2090055,STENT CORONARIO ANGIOLITE 4X9MM REFSCC DSR14 150 400 009,2858499,1224000
RiohhawaBCZZhYfNp,2090056,STENT CORONARIO CONVENCIONAL 275MM X 30MM RX INTEGRITY REF INT27530X,697000,697000
SfgScYwgaAqvdTHDb,2090057,STENT CORONARIO CONVENCIONAL 350MM X 12MM RX INTEGRITY REF INT35012X,697000,697000
GgxyRsWKm62uHXcxc,2090058,STENT CORONARIO CUBIERTO GRAFMASTER 28MM X 16MM REF1012817-16,4320000,4320000
GH2Awxe6FbED7tHdv,2090059,STENT CORONARIO CUBIERTO GRAFTMASTER RX 280X16 REF1012817-16,4320000,4320000
KSgSiiZxHhEXMoo8K,2090060,STENT CORONARIO CUBIERTO GRAFTMASTER RX 280X26 REF1012817-26,4320000,4320000
GBfHMkk9rRsGYG9np,2090061,STENT CORONARIO CUBIERTO GRAFTMASTER RX 350X16 REF1012818-16,4320000,4320000
x9ZN3HZbC6JsSizHj,2090062,STENT CORONARIO CUBIERTO GRAFTMASTER RX 450X19 REF1012820-19,4320000,4320000
kog2eqs7Pf595C4kp,2090063,STENT CORONARIO CUBIERTO GRAFTMASTER RX 450X26 REF1012820-26,4320000,4320000
oTPgYYxHcZ3KfS6wo,2090064,STENT CORONARIO CUBIERTO GRAFTMASTER RX 480X26 REF1012821-26,4320000,4320000
MqWGHPnAzRKvyqnKv,2090065,STENT CORONARIO CUBIERTO GRAFTMASTER RX280X19 REF1012817-19,4320000,4320000
ebGAKWr7fD66RBNsX,2090066,STENT CORONARIO CUBIERTO GRAFTMASTER RX350X19 REF1012818-19,4320000,4320000
Fu3sfMWRiyQtZNsoE,2090067,STENT CORONARIO CUBIERTO GRAFTMASTER RX350X26 REF1012818-26,4320000,4320000
jG3YbkL57sDXcBykz,2090068,STENT CORONARIO CUBIERTO GRAFTMASTER RX400X16 REF1012819-16,4320000,4320000
JaxYsT5svGPYXgxCZ,2090069,STENT CORONARIO MEDICADO  ULTIMASTER 225MM X 12MM REF:DE-RD2212KSM,2858499,2858499
p84nAKcJHB6E3qRuP,2090070,STENT CORONARIO MEDICADO  ULTIMASTER 225MM X 15MM REF:DE-RD2215KSM,2858499,2858499
shZAFNCMmkRd8an6x,2090071,STENT CORONARIO MEDICADO  ULTIMASTER 225MM X 18MM REF:DE-RD2218KSM,2858499,2858499
p4EMn5rrhzNJoXenG,2090072,STENT CORONARIO MEDICADO  ULTIMASTER 225MM X 28MM REF:DE-RD2228KSM,2858499,2858499
GjFFKYdP23Wj6TkMN,2090073,STENT CORONARIO MEDICADO  ULTIMASTER 225MM X 33MM REF:DE-RD2233KSM,2858499,2858499
9qrrnqAv7zkQN6P2j,2090074,STENT CORONARIO MEDICADO  ULTIMASTER 225MM X 38MM REF:DE-RD2238KSM,2858499,2858499
rovzEoPCpNdhQKxvF,2090075,STENT CORONARIO MEDICADO  ULTIMASTER 25MM X 12MM REF:DE-RD2512KSM,2858499,2858499
aCjKkbka7Y39PFNBb,2090076,STENT CORONARIO MEDICADO  ULTIMASTER 25MM X 18MM REF:DE-RD2518KSM,2858499,2858499
ZYgDZF3ETgJQySeEq,2090077,STENT CORONARIO MEDICADO  ULTIMASTER 25MM X 24MM REF:DE-RD2524KSM,2858499,2858499
AwsPAKadYjqsszBRX,2090078,STENT CORONARIO MEDICADO  ULTIMASTER 25MM X 28MM REF:DE-RD2528KSM,2858499,2858499
2whX8CMpHv83jjeiF,2090079,STENT CORONARIO MEDICADO  ULTIMASTER 25MM X 38MM REF:DE-RD2538KSM,2858499,2858499
W2gdLEToeSBoXfNAA,2090080,STENT CORONARIO MEDICADO  ULTIMASTER 30MM X 18MM REF:DE-RD3018KSM,2858499,2858499
B72nWzK4zyt7kesnW,2090081,STENT CORONARIO MEDICADO  ULTIMASTER 30MM X 24MM REF:DE-RD3024KSM,2858499,2858499
waDEGvezpEkd6j94m,2090082,STENT CORONARIO MEDICADO  ULTIMASTER 30MM X 28MM REF:DE-RD3028KSM,2858499,2858499
khc7k55ZXet3QyrBX,2090083,STENT CORONARIO MEDICADO  ULTIMASTER 30MM X 33MM REF:DE-RD3033KSM,2858499,2858499
CW2h6u576ZZvTjBnu,2090084,STENT CORONARIO MEDICADO  ULTIMASTER 30MM X 38MM REF:DE-RD3038KSM,2858499,2858499
7jynmyYYHchzjB7xn,2090085,STENT CORONARIO MEDICADO  ULTIMASTER 35MM X 18MM REF:DE-RD3518KSM,2858499,2858499
TSDnL8RBujxuy9i7o,2090086,STENT CORONARIO MEDICADO  ULTIMASTER 35MM X 33MM REF:DE-RD3533KSM,2858499,2858499
8qWviRvjBkoCCpHuf,2090087,STENT CORONARIO MEDICADO  ULTIMASTER 35MM X 38MM REF:DE-RD3538KSM,2858499,2858499
cziAY4kcC8ZbkFCaW,2090088,STENT CORONARIO MEDICADO RESOLUTE ONYX 20MM X 12MM REFRONYX20012X,2858499,2858499
npZCq4irRaRwwHxRZ,2090089,STENT CORONARIO MEDICADO RESOLUTE ONYX 20MM X 15MM REFRONYX20015X,2858499,2858499
rxwEptTTktGJKcacG,2090090,STENT CORONARIO MEDICADO RESOLUTE ONYX 20MM X 18MM REFRONYX20018X,2858499,2858499
kD2oXdXCb96zZsix5,2090091,STENT CORONARIO MEDICADO RESOLUTE ONYX 20MM X 22MM REFRONYX20022X,2858499,2858499
r7stGtytCBZZX82TH,2090092,STENT CORONARIO MEDICADO RESOLUTE ONYX 20MM X 26MM REFRONYX20026X,2858499,2858499
bA6w6gJq89pvpWE33,2090093,STENT CORONARIO MEDICADO RESOLUTE ONYX 20MM X 30MM REFRONYX20030X,2858499,2858499
tELHXR4ewicHbJSdo,2090094,STENT CORONARIO MEDICADO RESOLUTE ONYX 20MM X 8MM  REFRONYX20008X,2858499,2858499
cKre9nNkRoe5sR9Mu,2090095,STENT CORONARIO MEDICADO RESOLUTE ONYX 225MM X 12MM REFRONYX22512X,2858499,2858499
BiSA4v3vT4KDoRxEp,2090096,STENT CORONARIO MEDICADO RESOLUTE ONYX 225MM X 15MM REFRONYX22515X,2858499,2858499
mB9E26EJRqsh74icr,2090097,STENT CORONARIO MEDICADO RESOLUTE ONYX 225MM X 18MM REFRONYX22518X,2858499,2858499
xyswBFaq2wgp6PEHP,2090098,STENT CORONARIO MEDICADO RESOLUTE ONYX 225MM X 22MM REFRONYX22522X,2858499,2858499
EuSLypRzReSLr8fBY,2090099,STENT CORONARIO MEDICADO RESOLUTE ONYX 225MM X 26MM REFRONYX22526X,2858499,2858499
mqsveEcfWC6fe5M6K,2090100,STENT CORONARIO MEDICADO RESOLUTE ONYX 225MM X 30MM REFRONYX22530X,2858499,2858499
wfXXM3T2H3cJpk5de,2090101,STENT CORONARIO MEDICADO RESOLUTE ONYX 225MM X 34MM REFRONYX22534X,2858499,2858499
ya2BdaB5SEiYqTLz4,2090102,STENT CORONARIO MEDICADO RESOLUTE ONYX 225MM X 38MM REFRONYX22538X,2858499,2858499
QyKD9zkyr2zmXBbLd,2090103,STENT CORONARIO MEDICADO RESOLUTE ONYX 225MM X 8MM REFRONYX22508X,2858499,2858499
st8LngYA7DDvkeACX,2090104,STENT CORONARIO MEDICADO RESOLUTE ONYX 25MM X 12MM REF:RONYX25012X,2858499,2858499
u64ftXf84Mdz5GmQj,2090105,STENT CORONARIO MEDICADO RESOLUTE ONYX 25MM X 15MM REF:RONYX25015X,2858499,2858499
C4n59N35aJK8SGZXD,2090106,STENT CORONARIO MEDICADO RESOLUTE ONYX 25MM X 18MM REF:RONYX25018X,2858499,2858499
8QY2eyYPdTTEZttbB,2090107,STENT CORONARIO MEDICADO RESOLUTE ONYX 25MM X 22MM REF:RONYX25022X,2858499,2858499
mJsdwf5CH3AQ9Rgqn,2090108,STENT CORONARIO MEDICADO RESOLUTE ONYX 25MM X 26MM REF:RONYX25026X,2858499,2858499
aC2Kx5LtcEbWS5BpW,2090109,STENT CORONARIO MEDICADO RESOLUTE ONYX 25MM X 30MM REF:RONYX25030X,2858499,2858499
GbTNWgbDi9BQJrpi7,2090110,STENT CORONARIO MEDICADO RESOLUTE ONYX 25MM X 34MM REF:RONYX25034X,2858499,2858499
CfvpaxK8wZThy4zNw,2090111,STENT CORONARIO MEDICADO RESOLUTE ONYX 25MM X 38MM REF:RONYX25038X,2858499,2858499
fB4qaWsxErPbEujsh,2090112,STENT CORONARIO MEDICADO RESOLUTE ONYX 25MM X 8MM REF:RONYX25008X,2858499,2858499
AhZKepnH5rTECs68S,2090113,STENT CORONARIO MEDICADO RESOLUTE ONYX 275MM X 12MM REF:RONYX27512X,2858499,2858499
TEDpYhrMFSxshPiSk,2090114,STENT CORONARIO MEDICADO RESOLUTE ONYX 275MM X 15MM REF:RONYX27515X,2858499,2858499
nFqQLrCbtmEsMijr8,2090115,STENT CORONARIO MEDICADO RESOLUTE ONYX 275MM X 18MM REF:RONYX27518X,2858499,2858499
Sr2BDuq7y6GsTzGsF,2090116,STENT CORONARIO MEDICADO RESOLUTE ONYX 275MM X 22MM REF:RONYX27522X,2858499,2858499
qWdLeWjuLZYt98HSr,2090117,STENT CORONARIO MEDICADO RESOLUTE ONYX 275MM X 26MM REF:RONYX27526X,2858499,2858499
yNpbGBSSoZKMmD3x6,2090118,STENT CORONARIO MEDICADO RESOLUTE ONYX 275MM X 30MM REF:RONYX27530X,2858499,2858499
QHc3yoji9DbBJE6u8,2090119,STENT CORONARIO MEDICADO RESOLUTE ONYX 275MM X 34MM REF:RONYX27534X,2858499,2858499
pMgPMxEtiDk7z8PYC,2090120,STENT CORONARIO MEDICADO RESOLUTE ONYX 275MM X 38MM REF:RONYX27538X,2858499,2858499
KCEG7Zp4va2k2YxZE,2090121,STENT CORONARIO MEDICADO RESOLUTE ONYX 275MM X 8MM REF:RONYX27508X,2858499,2858499
8mCprtxcmi6d7nLZA,2090122,STENT CORONARIO MEDICADO RESOLUTE ONYX 300MM X 15MM REFRONYX30015X,2858499,2858499
EqjtAGphPagjGMnPf,2090123,STENT CORONARIO MEDICADO RESOLUTE ONYX 300MM X 8MM REFRONYX30008X,2858499,2858499
s8oa2zLH2P62Sprxp,2090124,STENT CORONARIO MEDICADO RESOLUTE ONYX 30MM X 12MM REF:RONYX30012X,2858499,2858499
6NTY7nB4hRe8FaL8Q,2090125,STENT CORONARIO MEDICADO RESOLUTE ONYX 30MM X 18MM REF:RONYX30018X,2858499,2858499
cxycDZrFkRN6edo2y,2090126,STENT CORONARIO MEDICADO RESOLUTE ONYX 30MM X 22MM REF:RONYX30022X,2858499,2858499
vaESZPhAMMgMGrHHA,2090127,STENT CORONARIO MEDICADO RESOLUTE ONYX 30MM X 26MM REF:RONYX30026X,2858499,2858499
Ginwke6aMhQApsYcP,2090128,STENT CORONARIO MEDICADO RESOLUTE ONYX 30MM X 30MM REF:RONYX30030X,2858499,2858499
qL9kPp6Ncnhbn5kLy,2090129,STENT CORONARIO MEDICADO RESOLUTE ONYX 30MM X 34MM REF:RONYX30034X,2858499,2858499
ZX5xhbKiTM5PfRwxg,2090130,STENT CORONARIO MEDICADO RESOLUTE ONYX 30MM X 38MM REF:RONYX30038X,2858499,2858499
eLg2Q9KDSpAtN6SKW,2090131,STENT CORONARIO MEDICADO RESOLUTE ONYX 35MM X 12MM REFRONYX35012X,2858499,2858499
z5iPkeiktjoQb4BL8,2090132,STENT CORONARIO MEDICADO RESOLUTE ONYX 35MM X 15MM REF:RONYX35015X,2858499,2858499
eXNxBGLHLFpXZizia,2090133,STENT CORONARIO MEDICADO RESOLUTE ONYX 35MM X 18MM REF:RONYX35018X,2858499,2858499
2GchmNFsRauvZc4p6,2090134,STENT CORONARIO MEDICADO RESOLUTE ONYX 35MM X 22MM REF:RONYX35022X,2858499,2858499
EW34ocqEzcKJo3Lqp,2090135,STENT CORONARIO MEDICADO RESOLUTE ONYX 35MM X 26MM REF:RONYX35026X,2858499,2858499
qP87CTukHLH62boac,2090136,STENT CORONARIO MEDICADO RESOLUTE ONYX 35MM X 30MM REF:RONYX35030X,2858499,2858499
ovAKJfFKrt62cmdae,2090137,STENT CORONARIO MEDICADO RESOLUTE ONYX 35MM X 34MM REF:RONYX35034X,2858499,2858499
brdNLoNm3k55fbHuX,2090138,STENT CORONARIO MEDICADO RESOLUTE ONYX 35MM X 38MM REF:RONYX35038X,2858499,2858499
CewWjzMXD2zp9F4g5,2090139,STENT CORONARIO MEDICADO RESOLUTE ONYX 35MM X 8MM REFRONYX35008X,2858499,2858499
vk3wXifJ3oKjDbmXh,2090140,STENT CORONARIO MEDICADO RESOLUTE ONYX 400X12 REF RONYX40012X,2858499,2858499
paHZ37ijcDpQAjdyH,2090141,STENT CORONARIO MEDICADO RESOLUTE ONYX 400X15 REF RONYX40015X,2858499,2858499
qFGcF7A2szCFwLxqv,2090142,STENT CORONARIO MEDICADO RESOLUTE ONYX 400X18 REF RONYX40018X,2858499,2858499
5AjsseNzsAnwJYQWj,2090143,STENT CORONARIO MEDICADO RESOLUTE ONYX 400X22 REF RONYX40022X,2858499,2858499
hdDDgSjdgoSfwNvYm,2090144,STENT CORONARIO MEDICADO RESOLUTE ONYX 400X26 REF RONYX40026X,2858499,2858499
HkoMw9ErCJLZjS74h,2090145,STENT CORONARIO MEDICADO RESOLUTE ONYX 400X30 REF RONYX40030X,2858499,2858499
ey4DtXvpLTuKgy7mp,2090146,STENT CORONARIO MEDICADO RESOLUTE ONYX 400X34 REF RONYX40034X,2858499,2858499
z5p8YLjadqAasbRSe,2090147,STENT CORONARIO MEDICADO RESOLUTE ONYX 400X38 REF RONYX40038X,2858499,2858499
nue2Sg3tirFLiNkQw,2090148,STENT CORONARIO MEDICADO RESOLUTE ONYX 400X8 REF RONYX40008X,2858499,2858499
8cCoNGLAB6DHtT86A,2090149,STENT CORONARIO MEDICADO RESOLUTE ONYX 450X12 REF RONYX45012X,2858499,2858499
QaDiN8Ee7dRpThFGp,2090150,STENT CORONARIO MEDICADO RESOLUTE ONYX 450X22 REF RONYX45022X,2858499,2858499
4MWXf9WwYL3yzDbzq,2090151,STENT CORONARIO MEDICADO RESOLUTE ONYX 450X26 REF RONYX45026X,2858499,2858499
CQooL599c8qt73pEa,2090152,STENT CORONARIO MEDICADO RESOLUTE ONYX 450X30 REF RONYX45030X,2858499,2858499
vw8JvCouBswiDjFmd,2090153,STENT CORONARIO MEDICADO RESOLUTE ONYX 500X15 REF RONYX50015X,2858499,2858499
giYJbwyREnYvx9pze,2090154,STENT CORONARIO MEDICADO RESOLUTE ONYX 500X26 REF RONYX50026X,2858499,2858499
k7Yvpa57HHgCYt4sy,2090155,STENT CORONARIO MEDICADO RESOLUTE ONYX 500X30 REF RONYX50030X,2858499,2858499
CRkeJZuxXcm9vdwRZ,2090156,STENT CORONARIO MEDICADO SYNERGY  225MM X 16MM REFH7493926216220,2858499,2858499
